State,Place,% Sun,Total Hours,Clear Days
AL,Birmingham,58,2641,99
AK,Anchorage,41,2061,61
AZ,Tucson,85,3806,193
AR,Fort Smith,61,2771,123
CA,San Diego,68,3055,146
CO,Grand Junction,71,3204,136
CT,Hartford,56,2585,82
DE,Wilmington,57,2582,97
FL,Tampa,66,2927,101
GA,Macon,66,2986,112
HI,Honolulu,71,2720,90
ID,Boise,64,2993,120
IL,Peoria,56,2567,95
IN,Indianapolis,55,2440,88
IA,Des Moines,59,2691,105
KS,Wichita,65,2922,128
KY,Louisville,56,2514,93
LA,New Orleans,57,2649,101
ME,Portland,57,2513,101
MD,Baltimore,57,2582,105
MA,Boston,58,2634,98
MI,Lansing,51,2392,71
MN,Minneapolis,58,2711,95
MS,Jackson,61,2720,111
MO,Springfield,60,2690,115
MT,Helena,59,2698,82
NE,Lincoln,61,2762,117
NV,Reno,79,3646,158
NH,Concord,54,2519,90
NJ,Atlantic City,56,2499,94
NM,Albuquerque,76,3415,167
NY,Syracuse,46,2120,63
NC,Greensboro,60,2651,109
ND,Bismarck,59,2738,93
OH,Columbus,50,2183,72
OK,Oklahoma City,68,3089,139
OR,Portland,48,2341,68
PA,Harrisburg,58,2614,87
RI,Providence,58,2606,98
SC,Columbia,64,2826,115
SD,Huron,63,2947,104
TN,Nashville,56,2510,102
TX,Dallas,61,2850,135
UT,Salt Lake City,66,3029,125
VT,Burlington,49,2295,58
VA,Richmond,63,2829,100
WA,Seattle,47,2170,58
WV,Beckley,63,2829,60
WI,Madison,54,2428,89
WY,Lander,68,3073,114
