Days,State,Place,Inches,Cen­ti­me­tres
0.8,AL,Birming­ham,1.6,4.1
48,AK,Anchor­age,74.5,189.2
0.3,AZ,Tucson,0.3,0.8
3.8,AR,Fort Smith,5.2,13.2
0,CA,San Diego,0,0
19.1,CO,Grand Junction,19.1,48.5
20.1,CT,Hartford,40.5,102.9
11.8,DE,Wilming­ton,20.2,51.3
0,FL,Tampa,0,0
0.7,GA,Macon,0.7,1.8
0,HI,Honolulu,0,0
19.4,ID,Boise,19.2,48.8
19.9,IL,Peoria,24.6,62.5
23.5,IN,Indiana­polis,25.9,65.8
26.2,IA,Des Moines,34.9,88.6
10,KS,Wichita,14.7,37.3
11.8,KY,Louisville,12.5,31.8
0.1,LA,New Orleans,0,0
27.8,ME,Portland,61.8,157
9.6,MD,Baltimore,20.2,51.3
22.4,MA,Boston,43.8,111.3
44.7,MI,Lansing,51.1,129.8
37.3,MN,Minnea­polis,54,137.2
0.6,MS,Jackson,0.9,2.3
11.5,MO,Spring­field,17,43.2
32.9,MT,Helena,38.1,96.8
18.3,NE,Lincoln,25.9,65.8
16.3,NV,Reno,21.8,55.4
29.8,NH,Concord,60.8,154.4
8.7,NJ,Atlantic City,16.5,41.9
9.5,NM,Albuquer­que,9.6,24.4
66.4,NY,Syracuse,123.8,314.5
3.9,NC,Greens­boro,7.6,19.3
45.2,ND,Bismarck,51.2,130
30.4,OH,Columbus,27.5,69.9
5.6,OK,Oklahoma City,7.8,19.8
2.2,OR,Portland,3,7.6
19.4,PA,Harris­burg,28.2,71.6
18.7,RI,Provi­dence,33.8,85.9
0.3,SC,Columbia,0.5,1.3
30.1,SD,Huron,43.9,111.5
6.2,TN,Nashville,6.3,16
1.3,TX,Dallas,1.5,3.8
34.8,UT,Salt Lake City,56.2,142.7
54.4,VT,Burlington,81.2,206.2
6.1,VA,Richmond,10.3,26.2
3,WA,Seattle,5,12.7
37.7,WV,Beckley,62,157.5
38.7,WI,Madison,50.9,129.3
36.7,WY,Lander,91.4,232.2
